           YEAR,           JDAY, QOMEAS_05BB001,  QOSIM_05BB001, QOMEAS_05BA001,  QOSIM_05BA001,
           2000,              1,   15.00000    ,   1000.800    ,  -1.000000    ,   128.9683    ,
           2000,              2,   15.00000    ,   781.0601    ,  -1.000000    ,   50.68707    ,
           2000,              3,   13.30000    ,   138.8190    ,  -1.000000    ,   2.205890    ,
           2000,              4,   11.80000    ,   4.777435    ,  -1.000000    ,  0.2150580    ,
           2000,              5,   12.90000    ,   1.747941    ,  -1.000000    ,  0.1162184    ,
           2000,              6,   13.50000    ,   1.225986    ,  -1.000000    ,  0.1055866    ,
           2000,              7,   13.00000    ,   1.165062    ,  -1.000000    ,  0.1130769    ,
           2000,              8,   13.00000    ,   1.256242    ,  -1.000000    ,  0.1249974    ,
           2000,              9,   12.80000    ,   1.395544    ,  -1.000000    ,  0.1372941    ,
           2000,             10,   12.60000    ,   1.539796    ,  -1.000000    ,  0.1487712    ,
           2000,             11,   11.80000    ,   1.674620    ,  -1.000000    ,  0.1591763    ,
           2000,             12,   10.40000    ,   1.797390    ,  -1.000000    ,  0.1685433    ,
           2000,             13,   10.10000    ,   1.908991    ,  -1.000000    ,  0.1769760    ,
           2000,             14,   10.60000    ,   2.010938    ,  -1.000000    ,  0.1845883    ,
           2000,             15,   10.40000    ,   2.104637    ,  -1.000000    ,  0.1914902    ,
           2000,             16,   10.40000    ,   2.191223    ,  -1.000000    ,  0.1977770    ,
           2000,             17,   10.70000    ,   2.271589    ,  -1.000000    ,  0.2035264    ,
           2000,             18,   10.90000    ,   2.346431    ,  -1.000000    ,  0.2088194    ,
           2000,             19,   11.30000    ,   2.416342    ,  -1.000000    ,  0.2137356    ,
           2000,             20,   10.50000    ,   2.481857    ,  -1.000000    ,  0.2183498    ,
           2000,             21,   9.520000    ,   2.543392    ,  -1.000000    ,  0.2227184    ,
           2000,             22,   10.20000    ,   2.601261    ,  -1.000000    ,  0.2268680    ,
           2000,             23,   10.80000    ,   2.655724    ,  -1.000000    ,  0.2308158    ,
           2000,             24,   10.10000    ,   2.706961    ,  -1.000000    ,  0.2345759    ,
           2000,             25,   9.450000    ,   2.755108    ,  -1.000000    ,  0.2381564    ,
           2000,             26,   9.030000    ,   2.800291    ,  -1.000000    ,  0.2415615    ,
           2000,             27,   9.490000    ,   2.842567    ,  -1.000000    ,  0.2447950    ,
           2000,             28,   10.20000    ,   2.882052    ,  -1.000000    ,  0.2478603    ,
           2000,             29,   9.730000    ,   2.918901    ,  -1.000000    ,  0.2507622    ,
           2000,             30,   9.140000    ,   2.953160    ,  -1.000000    ,  0.2535051    ,
           2000,             31,   9.070000    ,   2.984801    ,  -1.000000    ,  0.2560921    ,
           2000,             32,   9.110000    ,   3.013908    ,  -1.000000    ,  0.2585241    ,
           2000,             33,   9.600000    ,   3.040516    ,  -1.000000    ,  0.2608020    ,
           2000,             34,   9.890000    ,   3.064740    ,  -1.000000    ,  0.2629291    ,
           2000,             35,   9.710000    ,   3.086746    ,  -1.000000    ,  0.2649128    ,
           2000,             36,   9.210000    ,   3.106568    ,  -1.000000    ,  0.2667578    ,
           2000,             37,   9.130000    ,   3.124102    ,  -1.000000    ,  0.2684640    ,
           2000,             38,   9.330000    ,   3.139164    ,  -1.000000    ,  0.2700209    ,
           2000,             39,   10.00000    ,   3.151822    ,  -1.000000    ,  0.2713524    ,
           2000,             40,   10.20000    ,   3.161959    ,  -1.000000    ,  0.2724969    ,
           2000,             41,   10.50000    ,   3.169599    ,  -1.000000    ,  0.2735184    ,
           2000,             42,   10.10000    ,   3.174782    ,  -1.000000    ,  0.2744072    ,
           2000,             43,   9.000000    ,   3.178005    ,  -1.000000    ,  0.2751413    ,
           2000,             44,   8.800000    ,   3.180027    ,  -1.000000    ,  0.2757266    ,
           2000,             45,   8.900000    ,   3.180814    ,  -1.000000    ,  0.2761948    ,
           2000,             46,   9.000000    ,   3.180025    ,  -1.000000    ,  0.2765807    ,
           2000,             47,   9.200000    ,   3.177270    ,  -1.000000    ,  0.2768830    ,
           2000,             48,   9.500000    ,   3.172682    ,  -1.000000    ,  0.2770523    ,
           2000,             49,   9.700000    ,   3.166986    ,  -1.000000    ,  0.2769538    ,
           2000,             50,   10.00000    ,   3.160140    ,  -1.000000    ,  0.2765959    ,
           2000,             51,   10.40000    ,   3.152451    ,  -1.000000    ,  0.2761549    ,
           2000,             52,   10.80000    ,   3.144009    ,  -1.000000    ,  0.2756717    ,
           2000,             53,   11.20000    ,   3.134369    ,  -1.000000    ,  0.2751154    ,
           2000,             54,   11.50000    ,   3.123291    ,  -1.000000    ,  0.2744259    ,
           2000,             55,   11.50000    ,   3.111190    ,  -1.000000    ,  0.2736417    ,
           2000,             56,   11.00000    ,   3.098181    ,  -1.000000    ,  0.2728050    ,
           2000,             57,   9.960000    ,   3.084703    ,  -1.000000    ,  0.2719457    ,
           2000,             58,   9.420000    ,   3.071129    ,  -1.000000    ,  0.2710691    ,
           2000,             59,   9.570000    ,   3.057533    ,  -1.000000    ,  0.2701341    ,
           2000,             60,   9.730000    ,   3.043924    ,  -1.000000    ,  0.2691139    ,
           2000,             61,   9.730000    ,   3.030258    ,  -1.000000    ,  0.2680272    ,
           2000,             62,   9.650000    ,   3.016420    ,  -1.000000    ,  0.2668734    ,
           2000,             63,   9.540000    ,   3.002090    ,  -1.000000    ,  0.2656413    ,
           2000,             64,   9.480000    ,   2.987509    ,  -1.000000    ,  0.2643499    ,
           2000,             65,   9.330000    ,   2.972899    ,  -1.000000    ,  0.2630629    ,
           2000,             66,   9.270000    ,   2.958361    ,  -1.000000    ,  0.2617826    ,
           2000,             67,   9.150000    ,   2.943905    ,  -1.000000    ,  0.2605106    ,
           2000,             68,   9.140000    ,   2.929511    ,  -1.000000    ,  0.2592465    ,
           2000,             69,   8.970000    ,   2.915232    ,  -1.000000    ,  0.2579898    ,
           2000,             70,   9.200000    ,   2.901021    ,  -1.000000    ,  0.2567415    ,
           2000,             71,   9.440000    ,   2.886913    ,  -1.000000    ,  0.2555000    ,
           2000,             72,   9.410000    ,   2.872893    ,  -1.000000    ,  0.2542668    ,
           2000,             73,   9.160000    ,   2.858940    ,  -1.000000    ,  0.2530409    ,
           2000,             74,   8.990000    ,   2.845102    ,  -1.000000    ,  0.2518224    ,
           2000,             75,   8.950000    ,   2.831320    ,  -1.000000    ,  0.2506118    ,
           2000,             76,   8.790000    ,   2.817640    ,  -1.000000    ,  0.2494079    ,
           2000,             77,   8.950000    ,   2.804043    ,  -1.000000    ,  0.2482121    ,
           2000,             78,   8.910000    ,   2.790513    ,  -1.000000    ,  0.2470232    ,
           2000,             79,   8.900000    ,   2.777096    ,  -1.000000    ,  0.2458412    ,
           2000,             80,   9.010000    ,   2.763738    ,  -1.000000    ,  0.2446671    ,
           2000,             81,   8.800000    ,   2.750463    ,  -1.000000    ,  0.2434991    ,
           2000,             82,   8.940000    ,   2.737283    ,  -1.000000    ,  0.2423393    ,
           2000,             83,   8.830000    ,   2.724160    ,  -1.000000    ,  0.2411855    ,
           2000,             84,   9.000000    ,   2.711134    ,  -1.000000    ,  0.2400396    ,
           2000,             85,   8.950000    ,   2.698190    ,  -1.000000    ,  0.2388998    ,
           2000,             86,   8.980000    ,   2.685302    ,  -1.000000    ,  0.2377675    ,
           2000,             87,   8.920000    ,   2.672518    ,  -1.000000    ,  0.2366422    ,
           2000,             88,   8.990000    ,   2.659793    ,  -1.000000    ,  0.2355227    ,
           2000,             89,   9.160000    ,   2.647151    ,  -1.000000    ,  0.2344105    ,
           2000,             90,   9.080000    ,   2.634593    ,  -1.000000    ,  0.2333049    ,
           2000,             91,   8.820000    ,   2.622098    ,  -1.000000    ,  0.2322083    ,
           2000,             92,   8.790000    ,   2.609686    ,  -1.000000    ,  0.2311168    ,
           2000,             93,   9.000000    ,   2.597363    ,  -1.000000    ,  0.2300312    ,
           2000,             94,   9.220000    ,   2.593772    ,  -1.000000    ,  0.2296506    ,
           2000,             95,   9.220000    ,   2.593872    ,  -1.000000    ,  0.2331785    ,
           2000,             96,   9.430000    ,   2.570839    ,  -1.000000    ,  0.2280928    ,
           2000,             97,   9.480000    ,   2.551573    ,  -1.000000    ,  0.2259622    ,
           2000,             98,   9.150000    ,   2.537617    ,  -1.000000    ,  0.2247283    ,
           2000,             99,   8.820000    ,   2.539921    ,  -1.000000    ,  0.2236514    ,
           2000,            100,   9.000000    ,   2.526702    ,  -1.000000    ,  0.2226059    ,
           2000,            101,   9.290000    ,   2.512143    ,  -1.000000    ,  0.2215732    ,
           2000,            102,   9.310000    ,   2.507638    ,  -1.000000    ,  0.2205436    ,
           2000,            103,   9.320000    ,   2.496127    ,  -1.000000    ,  0.2195186    ,
           2000,            104,   9.260000    ,   2.473264    ,  -1.000000    ,  0.2184999    ,
           2000,            105,   9.450000    ,   2.454947    ,  -1.000000    ,  0.2174886    ,
           2000,            106,   8.400000    ,   2.443473    ,  -1.000000    ,  0.2164827    ,
           2000,            107,   8.110000    ,   2.438778    ,  -1.000000    ,  0.2154840    ,
           2000,            108,   9.420000    ,   2.439321    ,  -1.000000    ,  0.2144899    ,
           2000,            109,   9.780000    ,   2.442370    ,  -1.000000    ,  0.2135024    ,
           2000,            110,   9.570000    ,   2.428937    ,  -1.000000    ,  0.2125200    ,
           2000,            111,   9.540000    ,   3.515790    ,  -1.000000    ,  0.2173410    ,
           2000,            112,   9.960000    ,   3.351361    ,  -1.000000    ,  0.2468984    ,
           2000,            113,   10.30000    ,   4.716781    ,  -1.000000    ,  0.2524717    ,
           2000,            114,   11.10000    ,   2.979592    ,  -1.000000    ,  0.2350674    ,
           2000,            115,   11.80000    ,   2.448115    ,  -1.000000    ,  0.2135082    ,
           2000,            116,   11.70000    ,   2.884362    ,  -1.000000    ,  0.2077577    ,
           2000,            117,   11.30000    ,   3.179535    ,  -1.000000    ,  0.2059783    ,
           2000,            118,   10.90000    ,   5.310624    ,  -1.000000    ,  0.2079381    ,
           2000,            119,   11.00000    ,   14.43738    ,  -1.000000    ,  0.2350721    ,
           2000,            120,   11.70000    ,   3.908723    ,  -1.000000    ,  0.2410221    ,
           2000,            121,   13.20000    ,   10.70540    ,  -1.000000    ,  0.2201576    ,
           2000,            122,   13.30000    ,   19.43678    ,  -1.000000    ,  0.2354665    ,
           2000,            123,   13.40000    ,   27.93878    ,   3.600000    ,  0.2350832    ,
           2000,            124,   14.50000    ,   26.24397    ,   3.800000    ,  0.2447121    ,
           2000,            125,   15.80000    ,   12.98793    ,   4.110000    ,  0.2500041    ,
           2000,            126,   17.40000    ,   4.362683    ,   4.600000    ,  0.2104439    ,
           2000,            127,   17.20000    ,   3.087563    ,   4.560000    ,  0.2020062    ,
           2000,            128,   16.80000    ,   2.317802    ,   4.520000    ,  0.1996896    ,
           2000,            129,   15.90000    ,   5.353891    ,   4.480000    ,  0.1994301    ,
           2000,            130,   15.40000    ,   8.556743    ,   4.460000    ,  0.2032684    ,
           2000,            131,   15.40000    ,   5.045213    ,   4.450000    ,  0.1999877    ,
           2000,            132,   15.70000    ,   2.535851    ,   4.430000    ,  0.1988836    ,
           2000,            133,   15.80000    ,   6.649277    ,   4.390000    ,  0.1986239    ,
           2000,            134,   15.00000    ,   12.84740    ,   4.310000    ,  0.1986904    ,
           2000,            135,   14.60000    ,   19.44447    ,   4.350000    ,  0.2090899    ,
           2000,            136,   14.90000    ,   33.38393    ,   4.510000    ,  0.3819339    ,
           2000,            137,   15.50000    ,   35.74185    ,   5.110000    ,  0.5656769    ,
           2000,            138,   17.30000    ,   36.72133    ,   6.050000    ,  0.9033716    ,
           2000,            139,   20.90000    ,   42.32514    ,   7.190000    ,  0.8415299    ,
           2000,            140,   26.70000    ,   43.96288    ,   8.500000    ,  0.6335194    ,
           2000,            141,   32.00000    ,   44.59204    ,   9.320000    ,  0.7977003    ,
           2000,            142,   34.30000    ,   54.54765    ,   10.10000    ,   1.965189    ,
           2000,            143,   37.30000    ,   64.47176    ,   12.00000    ,   1.714185    ,
           2000,            144,   52.10000    ,   58.04497    ,   15.20000    ,  0.5154244    ,
           2000,            145,   60.60000    ,   15.16058    ,   15.50000    ,  0.5628121    ,
           2000,            146,   56.10000    ,   27.56639    ,   14.80000    ,  0.9882755    ,
           2000,            147,   53.60000    ,   41.92198    ,   14.00000    ,  0.9632397    ,
           2000,            148,   52.40000    ,   39.70355    ,   13.20000    ,   1.270482    ,
           2000,            149,   50.20000    ,   56.90793    ,   12.90000    ,  0.9204438    ,
           2000,            150,   51.20000    ,   39.07590    ,   13.20000    ,  0.6232453    ,
           2000,            151,   50.20000    ,   59.79106    ,   12.80000    ,  0.6950120    ,
           2000,            152,   50.10000    ,   27.40767    ,   13.20000    ,   1.572860    ,
           2000,            153,   48.50000    ,   29.63380    ,   12.70000    ,   2.169796    ,
           2000,            154,   46.60000    ,   33.02434    ,   12.30000    ,   2.873060    ,
           2000,            155,   47.80000    ,   36.92446    ,   12.20000    ,   4.497067    ,
           2000,            156,   50.60000    ,   41.37726    ,   12.50000    ,   7.666704    ,
           2000,            157,   60.80000    ,   58.63449    ,   13.60000    ,   4.247029    ,
           2000,            158,   76.00000    ,   91.44611    ,   15.70000    ,   8.275327    ,
           2000,            159,   89.60000    ,   130.5675    ,   19.10000    ,   7.323960    ,
           2000,            160,   102.0000    ,   145.5126    ,   21.60000    ,   19.72751    ,
           2000,            161,   111.0000    ,   254.0033    ,   24.80000    ,   18.91605    ,
           2000,            162,   129.0000    ,   176.6842    ,   29.40000    ,   8.412164    ,
           2000,            163,   138.0000    ,   233.3815    ,   31.60000    ,   43.15982    ,
           2000,            164,   130.0000    ,   129.3113    ,   30.20000    ,   14.09450    ,
           2000,            165,   113.0000    ,   61.45839    ,   26.00000    ,   7.491018    ,
           2000,            166,   100.0000    ,   67.18343    ,   22.20000    ,   11.45467    ,
           2000,            167,   95.20000    ,   81.62347    ,   20.50000    ,   9.512778    ,
           2000,            168,   102.0000    ,   54.76845    ,   20.30000    ,   6.486749    ,
           2000,            169,   97.40000    ,   45.60718    ,   19.20000    ,   5.967537    ,
           2000,            170,   93.90000    ,   41.94301    ,   18.70000    ,   13.23410    ,
           2000,            171,   96.20000    ,   74.88448    ,   19.10000    ,   12.02835    ,
           2000,            172,   103.0000    ,   48.77512    ,   20.20000    ,   9.813815    ,
           2000,            173,   102.0000    ,   44.83661    ,   20.00000    ,   8.559985    ,
           2000,            174,   103.0000    ,   50.53009    ,   20.40000    ,   8.686594    ,
           2000,            175,   117.0000    ,   46.65213    ,   22.50000    ,   4.973834    ,
           2000,            176,   111.0000    ,   105.3347    ,   21.80000    ,   16.32184    ,
           2000,            177,   108.0000    ,   106.1072    ,   21.90000    ,   4.185967    ,
           2000,            178,   104.0000    ,   44.94012    ,   20.80000    ,   4.796994    ,
           2000,            179,   103.0000    ,   45.38599    ,   20.90000    ,   4.223539    ,
           2000,            180,   112.0000    ,   50.20911    ,   22.70000    ,   9.117218    ,
           2000,            181,   120.0000    ,   53.55227    ,   25.30000    ,   10.69790    ,
           2000,            182,   131.0000    ,   52.10651    ,   28.50000    ,   11.21091    ,
